campaign,provider
ct2,utas
ct3,cnrs
ct11,cnrs
ct7,cnrs
wd1,utas
awru1,utas
ct23,cnrs
ct26,cnrs
ft02,cnrs
ct38e,cnrs
ft01,cnrs
ft03,cnrs
ct23x,cnrs
ct36,utas
ct6,utas
ft06,cnrs
ct62,cnrs
ct64,imos
ft04,cnrs
ct82,cnrs
ft10,cnrs
ct78d,imos
ft07,cnrs
wd04,imos
ct95,cnrs
ft12,cnrs
ct77,imos
ct78,imos
ct84,cnrs
ft11,cnrs
ft14,cnrs
ct96,imos
ct96,imos
ct97,cnrs
ct112,cnrs
ft18,cnrs
ct109,imos
ct105,sou
ct98,imos
ct117,cnrs
ct132,cnrs
ct116,imos
ct120,cnrs
ct121,sou
ct122,imos
ct131,imos
ct139,cnrs
ct133,sou
ct134,imos
ct135,imos
ft22,cnrs
ct140,imos
ft24,imos
ct144,imos
ct148,imos
ct149,imos
ct159,cnrs
ct155,imos
ct157,cnrs
ct158,imos
ct168,cnrs
ct160,imos
ct161,cnrs
ct164,imos
